,date,price
1372,2020-05-04,101.4600806451613
1373,2020-05-05,105.59962264150944
1374,2020-05-06,107.51461988304094
1375,2020-05-07,107.54164810690425
1376,2020-05-08,107.15115044247788
1377,2020-05-09,106.03358208955224
1378,2020-05-10,106.0875
1379,2020-05-11,109.54073033707866
1380,2020-05-12,110.44565217391305
1381,2020-05-13,110.03057324840763
1382,2020-05-14,110.70906344410878
1383,2020-05-15,109.89172413793104
1384,2020-05-16,108.99221789883268
1385,2020-05-17,110.9964824120603
1386,2020-05-18,110.76525198938992
1387,2020-05-19,110.46987012987013
1388,2020-05-20,110.48324607329843
1389,2020-05-21,109.45525568181819
1390,2020-05-22,109.39177057356608
1391,2020-05-23,108.23393939393941
1392,2020-05-24,108.14842105263159
1393,2020-05-25,107.05174825174826
1394,2020-05-26,107.09018181818183
1395,2020-05-27,107.48467289719626
1396,2020-05-28,106.41820448877806
1397,2020-05-29,105.63053892215568
1398,2020-05-30,104.07799043062201
1399,2020-05-31,103.95031055900621
1400,2020-06-01,105.58244514106585
1401,2020-06-02,106.94811594202898
1402,2020-06-03,105.51375
1403,2020-06-04,106.26786885245902
1404,2020-06-05,116.4203187250996
1405,2020-06-06,117.25606936416185
1406,2020-06-07,114.81953125000001
1407,2020-06-08,118.01808510638298
1408,2020-06-09,117.24298245614035
1409,2020-06-10,119.80074626865672
1410,2020-06-11,120.80596026490068
1411,2020-06-12,121.86351084812624
1412,2020-06-13,125.20208333333333
1413,2020-06-14,123.21944444444446
1414,2020-06-15,123.7296066252588
1415,2020-06-16,123.99337899543379
1416,2020-06-17,124.83526011560694
1417,2020-06-18,125.09104991394149
1418,2020-06-19,123.58344827586208
1419,2020-06-20,119.63085501858737
1420,2020-06-21,120.59113924050634
1421,2020-06-22,121.42920962199314
1422,2020-06-23,121.29642857142858
1423,2020-06-24,120.90979133226325
1424,2020-06-25,119.29782178217822
1425,2020-06-26,118.69409523809524
1426,2020-06-27,118.4148337595908
1427,2020-06-28,117.35646551724139
1428,2020-06-29,117.42921615201901
1429,2020-06-30,116.70053475935829
1430,2020-07-01,116.8192156862745
1431,2020-07-02,115.21582278481013
1432,2020-07-03,113.12391304347825
1433,2020-07-04,111.15562310030397
1434,2020-07-05,111.32676923076924
1435,2020-07-06,111.6268336314848
1436,2020-07-07,112.00175097276265
1437,2020-07-08,112.0504132231405
1438,2020-07-09,112.57305555555557
1439,2020-07-10,116.81205211726385
1440,2020-07-11,120.83152173913044
1441,2020-07-12,117.81398601398602
1442,2020-07-13,120.71538461538462
1443,2020-07-14,123.27741935483871
1444,2020-07-15,121.51206896551724
1445,2020-07-16,125.81448763250883
1446,2020-07-17,127.67678571428571
1447,2020-07-18,123.77704918032788
1448,2020-07-19,126.24000000000001
1449,2020-07-20,130.7047619047619
